timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1784560072429,5,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,5
1784560072440,2,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,,2150,0,5,18,0,0,1
1784560072832,3,Aprobar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,3
1784560072718,0,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,,2150,0,5,18,0,0,0
1784560072847,1,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,,2150,0,5,18,0,0,0
1784560073000,1,Aprobar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560072847,1,GET CSRF Token (post-login),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,,2150,0,5,18,0,0,1
1784560073135,1,Aprobar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073187,1,Rechazar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073222,1,Rechazar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073233,1,Aprobar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,0
1784560073334,1,Aprobar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073411,1,Rechazar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073230,0,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,,2150,0,5,18,0,0,0
1784560073517,1,Rechazar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073193,0,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,,2150,0,5,18,0,0,0
1784560073529,1,Rechazar Imagen en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,1
1784560073418,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,,2150,0,5,18,0,0,1
1784560073540,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,,2150,0,5,18,0,0,1
1784560073520,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,,2150,0,5,18,0,0,1
