timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1784560075367,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,13,0,0,1
1784560075267,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,,2150,0,3,13,0,0,1
1784560075511,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,13,0,0,1
1784560075379,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,13,0,0,1
1784560075517,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,,2150,0,3,13,0,0,1
1784560075666,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,13,0,0,0
1784560075603,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,13,0,0,1
1784560075670,1,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,,2150,0,3,13,0,0,1
1784560075754,0,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,12,0,0,0
1784560075851,0,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,11,0,0,0
1784560075930,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,10,0,0,0
1784560075854,6,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,,2150,0,3,11,0,0,6
1784560075940,1,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,10,0,0,1
1784560075933,0,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,,2150,0,3,10,0,0,0
1784560076081,1,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,7,0,0,1
1784560076031,0,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,8,0,0,0
